year,state_abbr,state,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,violent_crime_rate,property_crime_rate,homicide_rate,robbery_rate,aggravated_assault_rate,edu_staff_total
2019,OK,OKLAHOMA,3960676,17279,275,2383,12258,113504,26820,73199,13485,436.26391050416646,2865.773418477048,6.943259181008494,60.16649683033906,309.4926219665532,0.0
2019,OR,OREGON,4216116,12382,117,2329,8050,117567,15127,86922,15518,293.6826216356476,2788.51435776435,2.775065961183231,55.24041558628843,190.9340255344018,0.0
2019,PA,PENNSYLVANIA,12798883,39160,676,9749,24390,179670,23324,143937,12409,305.9642001571543,1403.794377993767,5.281710911803788,76.17070958457859,190.56350464333488,0.0
2019,RI,RHODE ISLAND,1058158,2357,26,421,1412,16312,2321,12628,1363,222.7455635169795,1541.546725536262,2.4570999793981616,39.78611889717793,133.43942965039247,0.0
2019,SC,SOUTH CAROLINA,5157702,26307,455,3325,19999,151970,27439,109366,15165,510.0527327868109,2946.467244520913,8.821758217128481,64.46669466363122,387.7502034820934,0.0
2019,SD,SOUTH DAKOTA,887127,3523,16,190,2670,15686,2662,11265,1759,397.1246506982653,1768.179753293497,1.803574910920308,21.41745206717865,300.9715632598264,0.0
2019,TN,TENNESSEE,6830325,40908,515,6164,31286,181801,29969,132540,19292,598.9173282384074,2661.6742248721694,7.539904762950519,90.24460768704272,458.0455542013008,0.0
2019,TX,TEXAS,28986794,122263,1432,29126,76402,697305,114494,504461,78350,421.7886255375465,2405.595458400815,4.940180690558604,100.48023938073318,263.57519910618606,0.0
2019,UT,UTAH,3203383,7588,77,1130,4516,69469,8658,54078,6733,236.8745791558487,2168.613618789885,2.403708829072265,35.27520749158,140.97596197519934,0.0
2019,VA,VIRGINIA,8556642,17916,447,3520,11034,140944,13972,116656,10316,209.38120351418232,1647.18823108411,5.224011943002874,41.13763319769601,128.9524558816414,0.0
2019,VT,VERMONT,624046,1293,11,71,913,8968,1286,7378,304,207.1962643779465,1437.0735490652933,1.7626905708874026,11.377366412091416,146.30331738365442,0.0
2019,WA,WASHINGTON,7614024,23095,205,5356,14037,207539,34976,147778,24785,303.3218702751659,2725.746596018085,2.6924002340943503,70.34388123809434,184.3571809072312,0.0
2019,WI,WISCONSIN,5824581,17305,189,2994,11764,85796,12572,65687,7537,297.10291607241794,1472.998658615959,3.2448686008487138,51.40283910550819,201.9716096316628,0.0
2019,WV,WEST VIRGINIA,1795263,5725,100,347,4460,27327,5282,19825,2220,318.89478031909533,1522.1725173414702,5.570214503390311,19.32864432676438,248.43156685120783,0.0
2019,WY,WYOMING,580116,1247,13,67,844,9097,1394,6981,722,214.95700859828037,1568.1346489322823,2.240931124120004,11.549414255080018,145.48814375056023,0.0
2021,AK,ALASKA,734182,5573,45,540,3820,13456,2312,9355,1789,759.0760874006718,1832.7880552778468,6.129270398892917,73.551244786715,520.3069538615766,0.0
2021,AL,ALABAMA,5049846,17590,476,1570,14175,74271,13584,50982,9705,348.3274539461204,1470.7577221166744,9.426030021509566,31.090057003718528,280.7016293170128,0.0
2021,AR,ARKANSAS,3028122,21271,334,1282,17194,76580,14662,53436,8482,702.4485803412148,2528.9601938098926,11.029938688071352,42.33647125181879,567.8106760559846,0.0
2021,AZ,ARIZONA,7264877,30922,485,5269,21849,153641,20717,115305,17619,425.6369378311566,2114.846541792793,6.675956110475098,72.52703658988307,300.7483815624133,0.0
